,Date,"San Jose, CA","Seattle, WA","Los Angeles, CA","New York, NY"
1,2021-06,734842.0,537093.0,662035.0,607645.0
2,2021-05,718369.0,528647.0,649579.0,604873.0
3,2021-04,700003.0,513802.0,642941.0,595369.0
4,2021-03,693089.0,510875.0,636858.0,594984.0
5,2021-02,716928.0,521326.0,644042.0,593255.0
6,2021-01,722566.0,523715.0,640864.0,595224.0
7,2020-12,716537.0,527667.0,640207.0,605839.0
8,2020-11,703969.0,530595.0,632089.0,614043.0
9,2020-10,688823.0,523747.0,628091.0,612342.0
10,2020-09,669931.0,520421.0,605496.0,620858.0
11,2020-08,651654.0,522223.0,604107.0,641756.0
12,2020-07,649912.0,523793.0,585855.0,617039.0
13,2020-06,685230.0,506638.0,604015.0,615227.0
14,2020-05,697183.0,506057.0,600464.0,618745.0
15,2020-04,698976.0,506324.0,608651.0,622028.0
16,2020-03,700302.0,504839.0,606154.0,622403.0
17,2020-02,697632.0,503330.0,602839.0,623753.0
18,2020-01,694375.0,501944.0,599219.0,623701.0
19,2019-12,689806.0,499691.0,597082.0,623362.0
20,2019-11,688008.0,498101.0,594758.0,623453.0
21,2019-10,687125.0,497338.0,593354.0,624959.0
22,2019-09,686806.0,498657.0,591274.0,627004.0
23,2019-08,685748.0,499754.0,589735.0,629183.0
24,2019-07,690816.0,501104.0,589078.0,631089.0
25,2019-06,694916.0,502122.0,587327.0,631489.0
26,2019-05,697569.0,504725.0,584086.0,632754.0
27,2019-04,697909.0,506917.0,582137.0,631665.0
28,2019-03,701775.0,511881.0,583815.0,631297.0
29,2019-02,712944.0,517786.0,587026.0,629947.0
30,2019-01,726496.0,523982.0,589977.0,630655.0
31,2018-12,741182.0,529573.0,590901.0,630377.0
32,2018-11,751185.0,534642.0,591662.0,629500.0
33,2018-10,758152.0,537564.0,591190.0,626890.0
34,2018-09,764043.0,538676.0,590473.0,623939.0
35,2018-08,768438.0,539395.0,589142.0,620382.0
36,2018-07,766702.0,541625.0,587088.0,617863.0
37,2018-06,751888.0,543545.0,583610.0,616484.0
38,2018-05,737633.0,541986.0,581083.0,614421.0
39,2018-04,722538.0,537259.0,578195.0,612510.0
40,2018-03,713567.0,529475.0,574211.0,609133.0
41,2018-02,700732.0,519817.0,569620.0,605385.0
42,2018-01,686817.0,510468.0,565737.0,601165.0
